x,y,z,u,v,w,vel_mag,rho,press,fluid,ThID
0.482759, 0.206897, 0.000000, 0.000000, 0.001123, -0.000000, 0.001123, 25.447596, 8.482532, 1, 0
0.517241, 0.206897, 0.000000, 0.000000, 0.001123, -0.000000, 0.001123, 25.447596, 8.482532, 1, 0
0.551724, 0.206897, 0.000000, 0.000000, 0.001123, -0.000000, 0.001123, 25.447596, 8.482532, 1, 0
0.586207, 0.206897, 0.000000, 0.000000, 0.001123, -0.000000, 0.001123, 25.447596, 8.482532, 1, 0
0.620690, 0.206897, 0.000000, 0.000000, 0.001123, -0.000000, 0.001123, 25.447596, 8.482532, 1, 0
0.655172, 0.206897, 0.000000, 0.000000, 0.001123, -0.000000, 0.001123, 25.447596, 8.482532, 1, 0
0.689655, 0.206897, 0.000000, 0.000000, 0.001123, -0.000000, 0.001123, 25.447596, 8.482532, 1, 0
0.724138, 0.206897, 0.000000, 0.000000, 0.000906, 0.000000, 0.000906, 25.420135, 8.473378, 1, 0
0.758621, 0.206897, 0.000000, 0.000000, 0.002147, 0.000000, 0.002147, 25.368853, 8.456284, 1, 0
0.793103, 0.206897, 0.000000, 0.000000, 0.000238, 0.000000, 0.000238, 24.869251, 8.289750, 1, 0
0.827586, 0.206897, 0.000000, 0.000000, -0.004924, 0.000000, 0.004924, 25.308112, 8.436037, 1, 0
0.862069, 0.206897, 0.000000, 0.000000, 0.003365, 0.000000, 0.003365, 26.881570, 8.960523, 1, 0
0.896552, 0.206897, 0.000000, -0.000000, 0.010220, -0.000000, 0.010220, 25.641214, 8.547071, 1, 0
0.931034, 0.206897, 0.000000, -0.000000, -0.036562, 0.000000, 0.036562, 22.119777, 7.373259, 1, 0
0.965517, 0.206897, 0.000000, 0.000000, -0.016843, 0.000000, 0.016843, 43.186220, 14.395407, 1, 0
1.000000, 0.206897, 0.000000, -0.000000, -0.000889, 0.000000, 0.000889, 49.285546, 16.428515, 1, 0
0.000000, 0.241379, 0.000000, 0.000000, 0.001093, -0.000000, 0.001093, 5.205360, 1.735120, 1, 0
0.034483, 0.241379, 0.000000, 0.000000, -0.002851, 0.000000, 0.002851, 4.859614, 1.619871, 1, 0
0.068966, 0.241379, 0.000000, 0.000000, -0.037846, 0.000000, 0.037846, 5.777102, 1.925701, 1, 0
0.103448, 0.241379, 0.000000, -0.000000, -0.019252, 0.000000, 0.019252, 8.610877, 2.870292, 1, 0
0.137931, 0.241379, 0.000000, -0.000000, -0.023596, -0.000000, 0.023596, 11.201636, 3.733879, 1, 0
0.172414, 0.241379, 0.000000, -0.000000, -0.026315, 0.000000, 0.026315, 15.029098, 5.009699, 1, 0
0.206897, 0.241379, 0.000000, -0.000000, -0.015733, 0.000000, 0.015733, 18.850562, 6.283521, 1, 0
0.241379, 0.241379, 0.000000, -0.000000, -0.005113, 0.000000, 0.005113, 22.561275, 7.520425, 1, 0
0.275862, 0.241379, 0.000000, 0.000000, -0.001399, -0.000000, 0.001399, 24.773788, 8.257929, 1, 0
0.310345, 0.241379, 0.000000, -0.000000, -0.000600, -0.000000, 0.000600, 25.309368, 8.436456, 1, 0
0.344828, 0.241379, 0.000000, -0.000000, -0.000600, -0.000000, 0.000600, 25.309368, 8.436456, 1, 0
0.379310, 0.241379, 0.000000, -0.000000, -0.000600, -0.000000, 0.000600, 25.309368, 8.436456, 1, 0
0.413793, 0.241379, 0.000000, -0.000000, -0.000600, -0.000000, 0.000600, 25.309368, 8.436456, 1, 0
0.448276, 0.241379, 0.000000, -0.000000, -0.000600, -0.000000, 0.000600, 25.309368, 8.436456, 1, 0
0.482759, 0.241379, 0.000000, -0.000000, -0.000600, -0.000000, 0.000600, 25.309368, 8.436456, 1, 0
0.517241, 0.241379, 0.000000, -0.000000, -0.000600, -0.000000, 0.000600, 25.309368, 8.436456, 1, 0
0.551724, 0.241379, 0.000000, -0.000000, -0.000600, -0.000000, 0.000600, 25.309368, 8.436456, 1, 0
0.586207, 0.241379, 0.000000, -0.000000, -0.000600, -0.000000, 0.000600, 25.309368, 8.436456, 1, 0
0.620690, 0.241379, 0.000000, -0.000000, -0.000600, -0.000000, 0.000600, 25.309368, 8.436456, 1, 0
0.655172, 0.241379, 0.000000, -0.000000, -0.000600, -0.000000, 0.000600, 25.309368, 8.436456, 1, 0
0.689655, 0.241379, 0.000000, -0.000000, -0.000600, -0.000000, 0.000600, 25.309368, 8.436456, 1, 0
0.724138, 0.241379, 0.000000, 0.000000, -0.000659, 0.000000, 0.000659, 25.324644, 8.441548, 1, 0
0.758621, 0.241379, 0.000000, -0.000000, 0.000979, 0.000000, 0.000979, 25.478513, 8.492838, 1, 0
0.793103, 0.241379, 0.000000, -0.000000, -0.000763, -0.000000, 0.000763, 24.984317, 8.328106, 1, 0
