  ID  j  METAF[j]  F[j]
  960  2 0.31038 0.23749
  960  3 0.21222 0.21222
  960  4 0.21222 0.21222
  960  5 0.21222 0.10598
  960  6 0.21222 0.21222
  960  7 0.33626 0.00000
  960  8 0.15519 0.10281
  960  9 0.00000 0.10281
  960 10 0.00000 0.00000
  960 11 0.00000 0.05312
  960 12 0.00000 0.00000
  960 13 0.00000 -0.05312
  960 14 0.00000 0.00000
  960 15 0.00000 0.00000
  960 16 0.00000 0.00000
  960 17 0.00000 0.00000
  960 18 0.00000 0.00000
  961  0 1.48865 1.48865
  961  1 0.25173 0.31038
  961  2 0.23749 0.23749
  961  3 0.28876 0.28876
  961  4 0.20965 0.20965
  961  5 0.24811 0.24374
  961  6 0.24811 0.24811
  961  7 0.14949 0.33626
  961  8 0.10281 0.10281
  961  9 0.00000 0.00000
  961 10 0.00000 0.00000
  961 11 0.00000 0.00000
  961 12 0.00000 0.00000
  961 13 0.00000 0.00000
  961 14 0.00000 0.00000
  961 15 0.00000 0.00000
  961 16 0.00000 0.00000
  961 17 0.00000 0.00000
  961 18 0.00000 0.00000
  962  0 1.48865 1.48865
  962  1 0.25173 0.25173
  962  2 0.23749 0.23749
  962  3 0.28876 0.28876
  962  4 0.20965 0.20965
  962  5 0.24811 0.24374
  962  6 0.24811 0.24811
  962  7 0.14949 0.14949
  962  8 0.10281 0.10281
  962  9 0.00000 0.00000
  962 10 0.00000 0.00000
  962 11 0.00000 0.00000
  962 12 0.00000 0.00000
  962 13 0.00000 0.00000
  962 14 0.00000 0.00000
  962 15 0.00000 0.00000
  962 16 0.00000 0.00000
  962 17 0.00000 0.00000
  962 18 0.00000 0.00000
  963  0 1.48865 1.48865
  963  1 0.25173 0.25173
  963  2 0.23749 0.23749
  963  3 0.28876 0.28876
  963  4 0.20965 0.20965
  963  5 0.24811 0.24374
  963  6 0.24811 0.24811
  963  7 0.14949 0.14949
  963  8 0.10281 0.10281
  963  9 0.00000 0.00000
  963 10 0.00000 0.00000
  963 11 0.00000 0.00000
  963 12 0.00000 0.00000
  963 13 0.00000 0.00000
  963 14 0.00000 0.00000
  963 15 0.00000 0.00000
  963 16 0.00000 0.00000
  963 17 0.00000 0.00000
  963 18 0.00000 0.00000
  964  0 1.48865 1.48865
  964  1 0.25173 0.25173
  964  2 0.23749 0.23749
  964  3 0.28876 0.28876
  964  4 0.20965 0.20965
  964  5 0.24811 0.24374
  964  6 0.24811 0.24811
  964  7 0.14949 0.14949
  964  8 0.10281 0.10281
  964  9 0.00000 0.00000
  964 10 0.00000 0.00000
  964 11 0.00000 0.00000
  964 12 0.00000 0.00000
  964 13 0.00000 0.00000
  964 14 0.00000 0.00000
  964 15 0.00000 0.00000
  964 16 0.00000 0.00000
  964 17 0.00000 0.00000
  964 18 0.00000 0.00000
  965  0 1.48865 1.48865
  965  1 0.25173 0.25173
  965  2 0.23749 0.23749
  965  3 0.28876 0.28876
  965  4 0.20965 0.20965
  965  5 0.24811 0.24374
  965  6 0.24811 0.24811
  965  7 0.14949 0.14949
  965  8 0.10281 0.10281
  965  9 0.00000 0.00000
  965 10 0.00000 0.00000
  965 11 0.00000 0.00000
  965 12 0.00000 0.00000
  965 13 0.00000 0.00000
  965 14 0.00000 0.00000
  965 15 0.00000 0.00000
  965 16 0.00000 0.00000
  965 17 0.00000 0.00000
  965 18 0.00000 0.00000
  966  0 1.48865 1.48865
  966  1 0.25173 0.25173
  966  2 0.23749 0.23749
  966  3 0.28876 0.28876
  966  4 0.20965 0.20965
  966  5 0.24811 0.24374
  966  6 0.24811 0.24811
  966  7 0.14949 0.14949
  966  8 0.10281 0.10281
  966  9 0.00000 0.00000
